"Date","Price","Open","High","Low","Vol.","Change %"
"01/14/2020","338.69","344.40","345.38","335.52","7.20M","-0.07%"
"01/13/2020","338.92","331.80","340.85","331.51","6.30M","3.00%"
"01/10/2020","329.05","337.13","338.50","327.27","4.72M","-1.97%"
"01/09/2020","335.66","342.00","343.42","334.61","4.72M","-1.06%"
"01/08/2020","339.26","331.49","342.70","331.05","7.11M","2.57%"
"01/07/2020","330.75","336.47","336.70","330.30","4.74M","-1.51%"
"01/06/2020","335.83","323.12","336.36","321.20","5.67M","3.05%"
"01/03/2020","325.90","326.78","329.86","325.53","3.80M","-1.19%"
"01/02/2020","329.81","326.10","329.98","324.78","4.35M","1.93%"
"12/31/2019","323.57","322.00","324.92","321.09","3.71M","0.08%"
"12/30/2019","323.31","329.08","329.19","322.86","4.32M","-1.76%"
"12/27/2019","329.09","332.96","333.82","326.01","5.04M","-1.06%"
"12/26/2019","332.63","334.60","336.46","332.01","3.60M","-0.17%"
"12/24/2019","333.20","334.01","335.70","331.60","2.02M","0.03%"
"12/23/2019","333.10","337.76","337.95","331.02","5.77M","-1.13%"
"12/20/2019","336.90","335.00","338.00","330.60","9.92M","1.41%"
"12/19/2019","332.22","324.50","332.83","324.18","9.83M","3.56%"
"12/18/2019","320.80","316.26","325.36","315.60","11.21M","1.69%"
"12/17/2019","315.48","307.36","316.80","306.60","10.44M","3.70%"
"12/16/2019","304.21","300.85","305.71","298.63","4.66M","1.91%"
"12/13/2019","298.50","298.50","301.80","297.25","3.88M","0.02%"
"12/12/2019","298.44","295.67","299.17","295.06","4.77M","-0.16%"
"12/11/2019","298.93","294.49","299.43","294.20","5.61M","1.98%"
"12/10/2019","293.12","296.12","298.94","292.02","10.48M","-3.10%"
"12/09/2019","302.50","307.35","311.49","302.44","5.77M","-1.58%"
"12/06/2019","307.35","304.70","307.85","302.60","4.46M","1.48%"
"12/05/2019","302.86","305.27","306.48","298.81","4.62M","-0.48%"
"12/04/2019","304.32","308.43","308.43","303.27","3.51M","-0.60%"
"12/03/2019","306.16","302.22","307.36","301.88","5.27M","-1.24%"
"12/02/2019","309.99","314.39","314.39","303.75","6.22M","-1.48%"
"11/29/2019","314.66","315.78","316.62","313.34","2.41M","-0.40%"
"11/27/2019","315.93","313.93","316.82","312.75","4.10M","1.10%"
"11/26/2019","312.49","315.00","316.50","311.69","5.33M","-0.97%"
"11/25/2019","315.55","308.83","315.73","305.25","7.88M","1.63%"
"11/22/2019","310.48","309.10","311.40","304.41","5.97M","-0.39%"
"11/21/2019","311.69","306.00","312.69","304.26","7.49M","2.14%"
"11/20/2019","305.16","301.01","308.25","301.00","5.12M","0.85%"
"11/19/2019","302.60","304.01","305.67","298.52","5.92M","0.01%"
"11/18/2019","302.57","296.00","304.99","293.28","8.62M","2.56%"
"11/15/2019","295.03","290.59","295.82","287.57","6.34M","1.87%"
"11/14/2019","289.62","283.25","290.63","283.22","6.54M","2.30%"
"11/13/2019","283.11","291.03","293.41","281.14","9.23M","-3.05%"
"11/12/2019","292.01","295.32","295.35","288.70","5.77M","-0.74%"
"11/11/2019","294.18","289.16","296.36","288.50","3.95M","0.90%"
"11/08/2019","291.57","288.73","293.99","287.50","4.51M","0.69%"
"11/07/2019","289.57","290.70","298.19","288.27","5.93M","0.34%"
"11/06/2019","288.59","288.19","290.56","285.84","3.44M","0.19%"
"11/05/2019","288.03","289.99","291.19","286.31","4.06M","-1.65%"
